run_id,index,document,total_pages,num_chunks,num_extractions,division_tokens_in,division_tokens_out,division_latency_ms,strategy,timestamp,model,model_n
CAC40__axa_climate_and_biodiversity_report_2024_va__20260624_141858,CAC40,axa_climate_and_biodiversity_report_2024_va,63,1,6,3300,121,8741.990205016918,section,2026-06-24T14:19:43.017451,UTM2,1
CAC40__bnp_paribas_2023_climate_report__20260624_141858,CAC40,bnp_paribas_2023_climate_report,36,1,5,3170,161,11952.987277996726,section,2026-06-24T14:19:46.843962,UTM2,1
CAC40__015157_LVMH_RSE_committed_to_positive_impact_2023_GB_SR_MEL_080724 (6)_2024-09-19_10_56__20260624_141858,CAC40,015157_LVMH_RSE_committed_to_positive_impact_2023_GB_SR_MEL_080724 (6)_2024-09-19_10_56,156,1,8,3379,129,9313.252065971028,section,2026-06-24T14:19:48.564249,UTM2,1
CAC40__Orange 2023 IAR - On track__20260624_141858,CAC40,Orange 2023 IAR - On track,69,1,5,2894,126,9312.797066988423,section,2026-06-24T14:19:52.025465,UTM2,1
CAC40__Sanofi-GHU-Report-2024__20260624_141859,CAC40,Sanofi-GHU-Report-2024,14,1,6,2872,139,10326.837438973598,section,2026-06-24T14:19:52.300174,UTM2,1
CAC40__Engie RI_Version EN_2105__20260624_141858,CAC40,Engie RI_Version EN_2105,75,1,10,3741,155,11257.77092797216,section,2026-06-24T14:20:03.433341,UTM2,1
CAC40__SUEZ_SD_Progress report 2023__20260624_141943,CAC40,SUEZ_SD_Progress report 2023,11,1,5,2958,83,4069.118681945838,section,2026-06-24T14:20:18.895027,UTM2,1
DAX__2024-sustainability-report__20260624_141952,DAX,2024-sustainability-report,170,1,6,3027,150,7849.9906359938905,section,2026-06-24T14:20:31.548508,UTM2,1
CAC40__totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf (1)__20260624_141946,CAC40,totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf (1),112,1,8,3232,207,10925.707416026853,section,2026-06-24T14:20:32.364912,UTM2,1
CAC40__veolia-2024-climate-report__20260624_141948,CAC40,veolia-2024-climate-report,31,1,7,3336,169,8563.7350360048,section,2026-06-24T14:20:38.077442,UTM2,1
DAX__BASF_Report_2023__20260624_141952,DAX,BASF_Report_2023,321,1,5,3270,121,6096.580879995599,section,2026-06-24T14:20:48.916127,UTM2,1
"Other__2024 Alibaba Group Environmental, Social and Governance Report-0809__20260624_142003",Other,"2024 Alibaba Group Environmental, Social and Governance Report-0809",199,1,7,2890,368,16193.510387034621,section,2026-06-24T14:21:42.811120,UTM2,1
Other__climate_action_report_2023__20260624_142018,Other,climate_action_report_2023,67,1,7,2995,158,7360.170406987891,section,2026-06-24T14:21:44.145446,UTM2,1
Other__2019__20260624_142032,Other,2019,52,1,7,2810,149,7657.365847029723,section,2026-06-24T14:22:03.911971,UTM2,1
Other__hul-business-responsibility-sustainability-report-fy-2023-24__20260624_142038,Other,hul-business-responsibility-sustainability-report-fy-2023-24,74,1,7,2899,128,17079.8778149765,section,2026-06-24T14:22:05.952928,UTM2,1
Other__bp-sustainability-report-2023__20260624_142031,Other,bp-sustainability-report-2023,67,1,8,3184,163,8394.963567028753,section,2026-06-24T14:22:08.923295,UTM2,1
Other__creating-shared-value-sustainability-report-2023-en__20260624_142049,Other,creating-shared-value-sustainability-report-2023-en,89,1,4,3340,308,56054.24250999931,section,2026-06-24T14:22:16.426241,UTM2,1
Other__en-sustainability-report-2023__20260624_142142,Other,en-sustainability-report-2023,21,1,5,3525,150,7539.707986987196,section,2026-06-24T14:22:17.429929,UTM2,1
Other__2022__20260624_142144,Other,2022,42,1,5,2701,203,9729.39866501838,section,2026-06-24T14:22:22.647100,UTM2,1
SP500__Sustainability_at_Bank_of_America_2024_Report__20260624_142217,SP500,Sustainability_at_Bank_of_America_2024_Report,124,1,3,2082,149,7685.153870028444,section,2026-06-24T14:22:41.920016,UTM2,1
SP500__2023__20260624_142208,SP500,2023,50,1,5,3025,125,6006.677425000817,section,2026-06-24T14:22:46.328027,UTM2,1
Other__2023sr_en__20260624_142205,Other,2023sr_en,51,1,5,2763,214,10469.67250999296,section,2026-06-24T14:22:46.402810,UTM2,1
Other__Samsung_Electronics_Sustainability_Report_2024_ENG__20260624_142203,Other,Samsung_Electronics_Sustainability_Report_2024_ENG,82,1,8,2888,88,5053.581548039801,section,2026-06-24T14:22:47.408038,UTM2,1
SP500__Apple_Environmental_Progress_Report_2024__20260624_142216,SP500,Apple_Environmental_Progress_Report_2024,113,1,8,3188,136,7318.2435859926045,section,2026-06-24T14:23:00.430535,UTM2,1
SP500__2023-advancing-climate-solutions-progress-report__20260624_142222,SP500,2023-advancing-climate-solutions-progress-report,100,1,8,4764,350,15808.47895896295,section,2026-06-24T14:23:11.528515,UTM2,1
SP500__Meta-2024-Sustainability-Report__20260624_142246,SP500,Meta-2024-Sustainability-Report,94,1,7,2786,234,11920.075411966536,section,2026-06-24T14:23:30.977248,UTM2,1
SP500__Microsoft-2024-Environmental-Sustainability-Report__20260624_142247,SP500,Microsoft-2024-Environmental-Sustainability-Report,88,1,9,2916,99,5106.9275320041925,section,2026-06-24T14:23:33.582884,UTM2,1
SP500__FY2024-NVIDIA-Corporate-Sustainability-Report__20260624_142300,SP500,FY2024-NVIDIA-Corporate-Sustainability-Report,41,1,8,2729,115,5699.524441035464,section,2026-06-24T14:23:41.524048,UTM2,1
SP500__google-2024-environmental-report__20260624_142246,SP500,google-2024-environmental-report,86,1,7,2990,192,10075.49757999368,section,2026-06-24T14:23:42.048937,UTM2,1
SP500__Pfizer_2023_Impact_Report_11MAR2024__20260624_142311,SP500,Pfizer_2023_Impact_Report_11MAR2024,84,1,5,2894,110,5213.646629999857,section,2026-06-24T14:24:37.633316,UTM2,1
SP500__ge2022_sustainability_report__20260624_142241,SP500,ge2022_sustainability_report,62,1,18,2968,147,7282.483500021044,section,2026-06-24T14:27:27.006480,UTM2,1
SP500__Sysco%20FY24%20Sustainability%20Report__20260624_142330,SP500,Sysco%20FY24%20Sustainability%20Report,69,1,6,3028,110,5084.981859952677,section,2026-06-24T14:29:55.575409,UTM2,1
